source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Congress has agreed to provide $8 Billion to fight Coronavirus! This means @CDCgov @HHSGov and @DHSgov will have the resources they need to Keep America Safe and keep the risk to workers and families very low. This is great news for our Health our Economy and our Nation!,03-04-2020 23:46:50,13902,61187,false,1235351025349013505
Twitter for iPhone,I NEVER said people that are feeling sick should go to work. This is just more Fake News and disinformation put out by the Democrats in particular MSDNC. Comcast covers the CoronaVirus situation horribly only looking to do harm to the incredible &amp; successful effort being made!,03-05-2020 14:30:50,25915,103076,false,1235573492004904961
Twitter for iPhone,“I want to commend the President for how he has handled the CoronaVirus situation especially his early decision to shut down access into our Country from China despite strong opposition to that decision.” @SenTomCotton Thank you Tom!,03-05-2020 15:53:33,12281,56638,false,1235594306297253889
Twitter for iPhone,With approximately 100000 CoronaVirus cases worldwide and 3280 deaths the United States because of quick action on closing our borders has as of now only 129 cases (40 Americans brought in) and 11 deaths. We are working very hard to keep these numbers as low as possible!,03-05-2020 16:34:21,26758,140561,false,1235604572850343937
Twitter for iPhone,Gallup just gave us the highest rating ever for the way we are handling the CoronaVirus situation. The April 2009-10 Swine Flu where nearly 13000 people died in the U.S. was poorly handled. Ask MSDNC &amp; lightweight Washington failure @RonaldKlain who the President was then?,03-05-2020 20:34:49,17909,72791,false,1235665090432708608
Twitter for iPhone,It is FAKE NEWS that @HHSGov @SecAzar is “sidelined” from the great job he is doing on the CoronaVirus Task Force. He has the total confidence of the @VP and myself and is doing a fantastic job as the numbers would indicate!,03-06-2020 15:38:06,15204,64081,false,1235952805581447173
Twitter for iPhone,Spoke to Governor @GavinNewsom early this morning about the cruise ship quarantined off the California Coast. CoronaVirus test kits have been delivered testing is taking place now. https://t.co/Pqda00HVCC,03-06-2020 15:47:58,13078,52003,false,1235955288064135168
Twitter for iPhone,We have a perfectly coordinated and fine tuned plan at the White House for our attack on CoronaVirus. We moved VERY early to close borders to certain areas which was a Godsend. V.P. is doing a great job. The Fake News Media is doing everything possible to make us look bad. Sad!,03-08-2020 12:45:45,32194,146014,false,1236634209516752896
Twitter for iPhone,The Fake News Media and their partner the Democrat Party is doing everything within its semi-considerable power (it used to be greater!) to inflame the CoronaVirus situation far beyond what the facts would warrant. Surgeon General “The risk is low to the average American.”,03-09-2020 11:20:43,25985,90579,false,1236975196642390022
Twitter for iPhone,Great job being done by the @VP and the CoronaVirus Task Force. Thank you!,03-09-2020 13:11:47,14505,73246,false,1237003145743605761
